Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20,SMA_50,Signal,Position,Strategy_Return,Cumulative_Market_Return,Cumulative_Strategy_Return,Peak,Drawdown
2023-01-03,123.21121978759766,128.95456910153305,122.32459400935494,128.34378830008248,112117500,,,,0,,,,,,
2023-01-04,124.48204040527344,126.7478608503369,123.22106494631889,125.00416235162118,89113600,0.01031416310841271,,,0,0.0,0.0,1.0103141631084127,1.0,1.0,0.0
2023-01-05,123.16194152832031,125.87107085400619,122.90581107632524,125.24058317585433,80962700,-0.01060473360378178,,,0,0.0,-0.0,0.9996000505525202,1.0,1.0,0.0
2023-01-06,127.6935806274414,128.35362127262974,123.03388217385093,124.13723942127505,87754700,0.03679415120359297,,,0,0.0,0.0,1.0363794859556688,1.0,1.0,0.0
2023-01-09,128.21568298339844,131.4272419402479,127.95955255827974,128.53093430540028,70790800,0.004088712630592628,,,0,0.0,0.0,1.0406169438499828,1.0,1.0,0.0
2023-01-10,128.78709411621094,129.30921608440133,126.21588318349379,128.32407802637962,63896200,0.004456639932936213,,,0,0.0,0.0,1.0452545988768347,1.0,1.0,0.0
2023-01-11,131.5060577392578,131.52574967331964,128.52109123972087,129.29934353146365,69458900,0.02111208146829857,,,0,0.0,0.0,1.0673220991234362,1.0,1.0,0.0
2023-01-12,131.42724609375,132.26460425926095,129.48652329837336,131.89026209256642,71379600,-0.0005993004950697323,,,0,0.0,-0.0,1.0666824524610328,1.0,1.0,0.0
2023-01-13,132.75718688964844,132.914812571895,129.70326821418658,130.0677644513709,57809700,0.010119216794284513,,,0,0.0,0.0,1.077476443448145,1.0,1.0,0.0
2023-01-17,133.91966247558594,135.24958975985854,132.1365650960417,132.82615869144374,63646600,0.008756404177980848,,,0,0.0,0.0,1.0869112626792303,1.0,1.0,0.0
2023-01-18,133.2005157470703,136.5499789381121,133.02318309021993,134.78658853017248,69672800,-0.005369986118705539,,,0,0.0,-0.0,1.0810745642863782,1.0,1.0,0.0
2023-01-19,133.25961303710938,134.22504400705918,131.78190613060963,132.08729648616435,58280400,0.00044367163075609284,,,0,0.0,0.0,1.081554206401284,1.0,1.0,0.0
2023-01-20,135.8209686279297,135.9687483442848,132.22522101014553,133.26946486486585,80223600,0.0192207941509408,,,0,0.0,0.0,1.1023425371656073,1.0,1.0,0.0
2023-01-23,139.01283264160156,141.18999437445396,135.85053284595898,136.06726442233395,81760300,0.023500524594370464,,,0,0.0,0.0,1.1282481650716885,1.0,1.0,0.0
2023-01-24,140.4116973876953,141.03233904710638,138.2148441781761,138.22469014521045,66435100,0.010062846138099157,,,0,0.0,0.0,1.1396015527623975,1.0,1.0,0.0
2023-01-25,139.7516632080078,140.3131839948148,136.7469896041819,138.7960782416761,65799300,-0.004700706507842156,,,0,0.0,-0.0,1.1342446203269803,1.0,1.0,0.0
2023-01-26,141.82046508789062,142.10614847767724,139.79106829556534,141.0421976938989,54105100,0.014803415089261529,,,0,0.0,0.0,1.1510353142544425,1.0,1.0,0.0
2023-01-27,143.76116943359375,145.04185173584784,140.95353538112576,141.03234821855804,70555800,0.013684233403834956,,,0,0.0,0.0,1.1667863501507567,1.0,1.0,0.0
2023-01-30,140.87474060058594,143.38684562469143,140.72697590646771,142.80561778514152,64015300,-0.02007794486077208,,,0,0.0,-0.0,1.1433596781481283,1.0,1.0,0.0
2023-01-31,142.14553833007812,142.19479823056315,140.1654165994733,140.57917270592753,65874500,0.009020763580997126,133.76104583740235,,0,0.0,0.0,1.1536736554927476,1.0,1.0,0.0
2023-02-01,143.26861572265625,144.43108640849707,139.21971287170524,141.83032262446247,77663600,0.007900897951297114,134.76391563415527,,0,0.0,0.0,1.1627887133138957,1.0,1.0,0.0
2023-02-02,148.57852172851562,148.93315698101298,145.96789698553212,146.68704352311798,118339000,0.037062590289407504,135.96873970031737,,0,0.0,0.0,1.2058846749885959,1.0,1.0,0.0
2023-02-03,152.2038116455078,155.04101372137666,145.6329433931969,145.82996797468513,154357300,0.024399824919623114,137.42083320617675,,0,0.0,0.0,1.2353080499315743,1.0,1.0,0.0
2023-02-06,149.47499084472656,150.82464018350336,148.5391127115985,150.3025182240104,69858300,-0.01792872840226134,138.50990371704103,,0,0.0,-0.0,1.213160547411224,1.0,1.0,0.0
2023-02-07,152.35157775878906,152.9229595728958,148.4011799958932,148.4011799958932,83322600,0.019244603380178082,139.71669845581056,,0,0.0,0.0,1.2365073409826326,1.0,1.0,0.0
2023-02-08,149.66212463378906,152.28259464697476,148.92327132396665,151.59300123087564,64120100,-0.017652939106794663,140.76044998168945,,0,0.0,-0.0,1.2146793521871615,1.0,1.0,0.0
2023-02-09,148.6277618408203,152.0363458567265,148.18445275739066,151.49451696275133,56007100,-0.006911319717662345,141.61653518676758,,0,0.0,-0.0,1.206284314829753,1.0,1.0,0.0
2023-02-10,148.99281311035156,149.3184067990407,147.22673043469464,147.46352995054943,57450700,0.002456144565523566,142.49481353759765,,0,0.0,0.0,1.2092471234940985,1.0,1.0,0.0
2023-02-13,151.7948760986328,152.19938787253557,148.90400724096855,148.93360529625505,62199000,0.01880669899296361,143.4466979980469,,0,0.0,0.0,1.231989070153759,1.0,1.0,0.0
2023-02-14,151.153564453125,151.71595766811416,148.8448255867729,150.08798919443248,61707600,-0.004224857004337279,144.30839309692382,,0,0.0,-0.0,1.226784092501453,1.0,1.0,0.0
2023-02-15,153.255126953125,153.4228543120151,150.83785669682248,151.06478017591323,65573800,0.013903492832626707,145.31112365722657,,0,0.0,0.0,1.2438406763387275,1.0,1.0,0.0
2023-02-16,151.6567840576172,154.24178188706213,151.3015922520093,151.45944356730615,68167900,-0.010429294779786935,146.23098220825196,,0,0.0,-0.0,1.2308682952661014,1.0,1.0,0.0
2023-02-17,150.51226806640625,150.9562540378776,148.83497936586727,150.31494264074843,59144100,-0.0075467510294569,146.96554718017578,,0,0.0,-0.0,1.2215792386916762,1.0,1.0,0.0
2023-02-21,146.49664306640625,149.27898155177908,146.42758593465936,148.1936690103287,58867200,-0.026679718879980552,147.33973770141603,,0,0.0,-0.0,1.1889878480137617,1.0,1.0,0.0
